"Frequency","Power"
5.17887e+09,-87.977
5.17887e+09,-96.4632
5.17887e+09,-88.3266
5.17887e+09,-85.2931
5.17887e+09,-90.425
5.17887e+09,-91.5466
5.17887e+09,-89.3757
5.17887e+09,-87.8857
5.17887e+09,-95.5543
5.17887e+09,-96.8794
5.17887e+09,-91.0749
5.17887e+09,-95.0316
5.17887e+09,-94.0458
5.17887e+09,-90.1027
5.17888e+09,-93.9281
5.17888e+09,-100.773
5.17888e+09,-84.5501
5.17888e+09,-82.5222
5.17888e+09,-87.6528
5.17888e+09,-92.8586
5.17888e+09,-88.5882
5.17888e+09,-85.6636
5.17888e+09,-93.6491
5.17888e+09,-84.6259
5.17888e+09,-85.357
5.17888e+09,-90.7906
5.17888e+09,-89.0516
5.17888e+09,-92.998
5.17888e+09,-94.6795
5.17888e+09,-91.7315
5.17888e+09,-88.0661
5.17888e+09,-86.8856
5.17888e+09,-92.2205
5.17889e+09,-100.421
5.17889e+09,-107.294
5.17889e+09,-102.672
5.17889e+09,-85.3197
5.17889e+09,-81.4822
5.17889e+09,-82.1738
5.17889e+09,-86.9597
5.17889e+09,-95.2792
5.17889e+09,-98.2542
5.17889e+09,-91.668
5.17889e+09,-93.6004
5.17889e+09,-93.7986
5.17889e+09,-84.4681
5.17889e+09,-83.6135
5.17889e+09,-87.4023
5.17889e+09,-92.8368
5.17889e+09,-93.2991
5.17889e+09,-88.4657
5.17889e+09,-85.2109
5.17889e+09,-88.1911
5.1789e+09,-91.9905
5.1789e+09,-93.8662
5.1789e+09,-90.7866
5.1789e+09,-88.9483
5.1789e+09,-99.8997
5.1789e+09,-94.2152
5.1789e+09,-88.0165
5.1789e+09,-92.0848
5.1789e+09,-88.7808
5.1789e+09,-88.1497
5.1789e+09,-90.9569
5.1789e+09,-88.8417
5.1789e+09,-85.9901
5.1789e+09,-87.8873
5.1789e+09,-93.1267
5.1789e+09,-85.3914
5.1789e+09,-86.9653
5.1789e+09,-92.8341
5.1789e+09,-90.5921
5.17891e+09,-97.984
5.17891e+09,-92.6255
5.17891e+09,-89.5474
5.17891e+09,-92.1024
5.17891e+09,-91.4577
5.17891e+09,-92.143
5.17891e+09,-101.118
5.17891e+09,-94.0351
5.17891e+09,-97.4374
5.17891e+09,-86.3783
5.17891e+09,-86.4117
5.17891e+09,-85.9354
5.17891e+09,-90.1859
5.17891e+09,-88.8232
5.17891e+09,-90.0223
5.17891e+09,-93.1365
5.17891e+09,-110.372
5.17891e+09,-105.007
5.17891e+09,-93.6168
5.17891e+09,-93.3673
5.17892e+09,-108.006
5.17892e+09,-101.166
5.17892e+09,-89.3322
5.17892e+09,-82.4834
5.17892e+09,-85.8941
5.17892e+09,-108.895
5.17892e+09,-93.6834
5.17892e+09,-97.492
5.17892e+09,-92.7716
5.17892e+09,-91.8004
5.17892e+09,-95.8951
5.17892e+09,-104.544
5.17892e+09,-88.0701
5.17892e+09,-87.1247
5.17892e+09,-89.1361
5.17892e+09,-98.8873
5.17892e+09,-114.067
5.17892e+09,-91.2741
5.17892e+09,-85.4073
5.17893e+09,-87.4938
5.17893e+09,-100.248
5.17893e+09,-90.2754
5.17893e+09,-85.2491
5.17893e+09,-85.0361
5.17893e+09,-82.5197
5.17893e+09,-83.5886
5.17893e+09,-98.3701
5.17893e+09,-93.4139
5.17893e+09,-84.3429
5.17893e+09,-87.489
5.17893e+09,-96.14
5.17893e+09,-87.6917
5.17893e+09,-84.7952
5.17893e+09,-87.9356
5.17893e+09,-88.4678
5.17893e+09,-91.689
5.17893e+09,-96.8547
5.17893e+09,-99.054
5.17893e+09,-100.251
5.17894e+09,-87.6745
5.17894e+09,-88.0883
5.17894e+09,-92.6119
5.17894e+09,-94.0707
5.17894e+09,-84.5435
5.17894e+09,-85.0194
5.17894e+09,-88.1759
5.17894e+09,-102.775
5.17894e+09,-89.0051
5.17894e+09,-99.9889
5.17894e+09,-101.085
5.17894e+09,-91.8376
5.17894e+09,-98.1306
5.17894e+09,-95.7841
5.17894e+09,-89.349
5.17894e+09,-94.0013
5.17894e+09,-100.797
5.17894e+09,-89.9267
5.17894e+09,-92.7705
5.17895e+09,-93.2598
5.17895e+09,-94.3388
5.17895e+09,-97.5047
5.17895e+09,-97.4083
5.17895e+09,-102.384
5.17895e+09,-95.9833
5.17895e+09,-90.1554
5.17895e+09,-98.1936
5.17895e+09,-90.786
5.17895e+09,-94.1019
5.17895e+09,-98.1386
5.17895e+09,-95.0283
5.17895e+09,-92.1324
5.17895e+09,-93.9323
5.17895e+09,-95.1708
5.17895e+09,-105.377
5.17895e+09,-95.431
5.17895e+09,-91.9678
5.17895e+09,-104.207
5.17895e+09,-95.7313
5.17896e+09,-95.7227
5.17896e+09,-85.3448
5.17896e+09,-86.8066
5.17896e+09,-93.0127
5.17896e+09,-91.3441
5.17896e+09,-95.2386
5.17896e+09,-97.3108
5.17896e+09,-89.3622
5.17896e+09,-88.1929
5.17896e+09,-87.4275
5.17896e+09,-88.1769
5.17896e+09,-90.9899
5.17896e+09,-91.8842
5.17896e+09,-85.9715
5.17896e+09,-89.5303
5.17896e+09,-97.0053
5.17896e+09,-91.8227
5.17896e+09,-99.2195
5.17896e+09,-101.97
5.17896e+09,-97.9862
5.17897e+09,-84.0484
5.17897e+09,-85.3244
5.17897e+09,-97.4523
5.17897e+09,-98.9388
5.17897e+09,-87.4783
5.17897e+09,-85.8284
5.17897e+09,-91.4104
5.17897e+09,-97.8346
5.17897e+09,-88.9875
5.17897e+09,-87.284
5.17897e+09,-85.4791
5.17897e+09,-81.3358
5.17897e+09,-82.212
5.17897e+09,-89.2539
5.17897e+09,-92.9953
5.17897e+09,-84.1007
5.17897e+09,-85.3972
5.17897e+09,-100.676
5.17897e+09,-95.9997
5.17898e+09,-95.493
5.17898e+09,-93.6022
5.17898e+09,-101.366
5.17898e+09,-93.3426
5.17898e+09,-86.6257
5.17898e+09,-85.6359
5.17898e+09,-94.829
5.17898e+09,-101.534
5.17898e+09,-91.9199
5.17898e+09,-95.64
5.17898e+09,-99.3936
5.17898e+09,-88.5206
5.17898e+09,-90.4601
5.17898e+09,-92.5202
5.17898e+09,-88.4577
5.17898e+09,-96.5975
5.17898e+09,-99.4443
5.17898e+09,-99.7371
5.17898e+09,-112.891
5.17898e+09,-88.4975
5.17899e+09,-87.5342
5.17899e+09,-100.632
5.17899e+09,-96.7816
5.17899e+09,-96.4569
5.17899e+09,-101.243
5.17899e+09,-93.1548
5.17899e+09,-89.435
5.17899e+09,-89.5094
5.17899e+09,-89.3217
5.17899e+09,-100.445
5.17899e+09,-101.735
5.17899e+09,-89.444
5.17899e+09,-87.3714
5.17899e+09,-88.953
5.17899e+09,-95.6331
5.17899e+09,-98.1589
5.17899e+09,-89.3061
5.17899e+09,-91.7133
5.17899e+09,-110.163
5.179e+09,-98.0975
5.179e+09,-89.764
5.179e+09,-85.7291
5.179e+09,-85.1133
5.179e+09,-87.3794
5.179e+09,-89.9096
5.179e+09,-90.814
5.179e+09,-92.887
5.179e+09,-94.8817
5.179e+09,-98.5527
5.179e+09,-90.5866
5.179e+09,-89.1432
5.179e+09,-95.3326
5.179e+09,-98.4771
5.179e+09,-103.114
5.179e+09,-92.3597
5.179e+09,-91.6067
5.179e+09,-89.6082
5.179e+09,-96.6215
5.179e+09,-96.6016
5.17901e+09,-92.5954
5.17901e+09,-105.739
5.17901e+09,-89.6715
5.17901e+09,-89.5203
5.17901e+09,-100.349
5.17901e+09,-105.531
5.17901e+09,-101.918
5.17901e+09,-92.8366
5.17901e+09,-95.6145
5.17901e+09,-96.1618
5.17901e+09,-96.4927
5.17901e+09,-112.259
5.17901e+09,-91.9572
5.17901e+09,-90.7953
5.17901e+09,-90.361
5.17901e+09,-93.4834
5.17901e+09,-97.9529
5.17901e+09,-89.1707
5.17901e+09,-93.0147
5.17902e+09,-103.791
5.17902e+09,-106.283
5.17902e+09,-100.238
5.17902e+09,-90.2914
5.17902e+09,-90.0112
5.17902e+09,-92.1769
5.17902e+09,-98.1915
5.17902e+09,-108.28
5.17902e+09,-92.628
5.17902e+09,-107.916
5.17902e+09,-89.1389
5.17902e+09,-90.0255
5.17902e+09,-95.9926
5.17902e+09,-97.6496
5.17902e+09,-89.2074
5.17902e+09,-87.8871
5.17902e+09,-91.0018
5.17902e+09,-90.076
5.17902e+09,-91.1543
5.17902e+09,-102.715
5.17903e+09,-98.4944
5.17903e+09,-102.88
5.17903e+09,-89.1528
5.17903e+09,-89.4005
5.17903e+09,-92.2923
5.17903e+09,-100.638
5.17903e+09,-93.5179
5.17903e+09,-95.5977
5.17903e+09,-90.4256
5.17903e+09,-91.1373
5.17903e+09,-97.0797
5.17903e+09,-98.8868
5.17903e+09,-94.6875
5.17903e+09,-92.468
5.17903e+09,-91.4942
5.17903e+09,-89.816
5.17903e+09,-94.1656
5.17903e+09,-92.6225
5.17903e+09,-91.9436
5.17904e+09,-90.3808
5.17904e+09,-87.3343
5.17904e+09,-93.8166
5.17904e+09,-100.169
5.17904e+09,-93.6816
5.17904e+09,-88.7655
5.17904e+09,-91.4161
5.17904e+09,-98.6695
5.17904e+09,-100.249
5.17904e+09,-91.1432
5.17904e+09,-88.4966
5.17904e+09,-88.1664
5.17904e+09,-88.6616
5.17904e+09,-88.5899
5.17904e+09,-86.5012
5.17904e+09,-89.0269
5.17904e+09,-95.7655
5.17904e+09,-90.8098
5.17904e+09,-95.8081
5.17904e+09,-113.437
5.17905e+09,-109.775
5.17905e+09,-102.647
5.17905e+09,-99.2778
5.17905e+09,-99.8733
5.17905e+09,-93.7877
5.17905e+09,-96.9199
5.17905e+09,-88.7854
5.17905e+09,-86.5435
5.17905e+09,-89.8063
5.17905e+09,-92.6997
5.17905e+09,-94.7845
5.17905e+09,-101.576
5.17905e+09,-103.282
5.17905e+09,-99.9616
5.17905e+09,-102.727
5.17905e+09,-96.754
5.17905e+09,-95.2652
5.17905e+09,-98.7685
5.17905e+09,-95.4729
5.17906e+09,-91.4763
5.17906e+09,-95.8219
5.17906e+09,-91.4457
5.17906e+09,-94.6152
5.17906e+09,-96.6085
5.17906e+09,-95.2051
5.17906e+09,-99.1387
5.17906e+09,-93.2608
5.17906e+09,-97.7561
